schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Tecumseh,D M Eagle Public School,Public,Elementary,JK-6
Windsor,David Maxwell Public School,Public,Elementary,JK-8
Windsor,Dougall Avenue Public School,Public,Elementary,JK-8
Windsor,Dr. David Suzuki Public School,Public,Elementary,JK-8
Wheatley,East Mersea Public School,Public,Elementary,JK-8
Windsor,Eastwood Public School,Public,Elementary,JK-8
Essex,Essex District High School,Public,Secondary,9-12
Essex,Essex Public School,Public,Elementary,JK-8
Windsor,Ford City Public School,Public,Elementary,JK-8
Windsor,Forest Glade Public School,Public,Elementary,JK-8
Windsor,Frank W Begley Public School,Public,Elementary,JK-8
Amherstburg,General Amherst High School,Public,Secondary,9-12
Windsor,General Brock Public School,Public,Elementary,JK-8
Windsor,Giles Campus French Immersion Public School,Public,Elementary,JK-8
Windsor,Glenwood Public School,Public,Elementary,JK-8
Leamington,Gore Hill Public School,Public,Elementary,JK-8
Cottam,Gosfield North Public School,Public,Elementary,JK-8
Harrow,Harrow Public School,Public,Elementary,JK-8
Windsor,Hon W C Kennedy Collegiate Institute,Public,Secondary,9-12
Windsor,Hugh Beaton Public School,Public,Elementary,JK-8
Windsor,J A McWilliam Public School,Public,Elementary,JK-8
Kingsville,Jack Miner Public School,Public,Elementary,JK-8
Windsor,John Campbell Public School,Public,Elementary,JK-8
Windsor,King Edward Public School,Public,Elementary,JK-8
Kingsville,Kingsville District High School,Public,Secondary,9-12
Kingsville,Kingsville Public School,Public,Elementary,JK-8
LaSalle,LaSalle Public School,Public,Elementary,JK-8
Emeryville,Lakeshore Discovery School,Public,Elementary,JK-8
Leamington,Leamington District Secondary School,Public,Secondary,9-12
Windsor,M S Hetherington Public School,Public,Elementary,JK-8
Amherstburg,Malden Central Public School,Public,Elementary,JK-8
Leamington,Margaret D Bennie Public School,Public,Elementary,JK-8
Windsor,Marlborough Public School,Public,Elementary,JK-8
Leamington,Mount Carmel Blytheswood Public School,Public,Elementary,JK-8
Windsor,Northwood Public School,Public,Elementary,JK-8
Windsor,Parkview Public School,Public,Elementary,JK-8
Pelee Island,Pelee Island Public School,Public,Elementary,JK-8
LaSalle,Prince Andrew Public School,Public,Elementary,JK-8
Windsor,Prince Edward Public School,Public,Elementary,JK-8
Windsor,Princess Elizabeth Public School,Public,Elementary,JK-8
Leamington,Queen Elizabeth Public School,Public,Elementary,JK-8
Windsor,Queen Victoria Public School,Public,Elementary,JK-8
Windsor,Riverside Secondary School,Public,Secondary,9-12
Windsor,Roseland Public School,Public,Elementary,JK-8
Windsor,Roseville Public School,Public,Elementary,JK-8
LaSalle,Sandwich Secondary School,Public,Secondary,9-12
LaSalle,Sandwich West Public School,Public,Elementary,JK-8
Windsor,Southwood Public School,Public,Elementary,JK-8
Windsor,Talbot Trail Public School,Public,Elementary,JK-8
Tecumseh,Tecumseh Vista Academy - Elementary,Public,Elementary,JK-8
Tecumseh,Tecumseh Vista Academy- Secondary,Public,Secondary,9-12
Windsor,Vincent Massey Secondary School,Public,Secondary,9-12
Windsor,W. F. Herman Academy Elementary School,Public,Elementary,JK-8
Windsor,W. F. Herman Academy Secondary School,Public,Secondary,9-12
Windsor,Walkerville Collegiate Institute,Public,Secondary,9-12
Windsor,West Gate Public School,Public,Elementary,JK-8
Windsor,Westview Freedom Academy Secondary School,Public,Secondary,9-12
Windsor,William G Davis Public School,Public,Elementary,JK-8
Burlington,Ascension Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,Assumption Catholic Secondary School,Catholic,Secondary,9-12
Milton,Bishop Paul Francis Reding Catholic Secondary School,Catholic,Secondary,9-12
Burlington,Canadian Martyrs Catholic Elementary School,Catholic,Elementary,JK-8
Georgetown,Christ the King Catholic Secondary School,Catholic,Secondary,9-12
BURLINGTON,Corpus Christi Catholic Secondary School,Catholic,Secondary,9-12
Milton,Guardian Angels Catholic Elementary School,Catholic,Elementary,JK-8
Halton Hills,Holy Cross Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,Holy Family Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,Holy Rosary (Burlington) Catholic Elementary School,Catholic,Elementary,JK-8
Milton,Holy Rosary (Milton) Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,Holy Trinity Catholic Secondary School,Catholic,Secondary,9-12
Milton,Lumen Christi Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,Notre Dame Catholic Secondary School,Catholic,Secondary,9-12
Milton,Our Lady of Fatima Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,Our Lady of Peace Catholic Elementary School,Catholic,Elementary,JK-8
Milton,Our Lady of Victory Catholic Elementary School,Catholic,Elementary,JK-8
Milton,Queen of Heaven Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,Sacred Heart of Jesus Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Andrew Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,St. Anne Catholic Elementary School,Catholic,Elementary,JK-8
Milton,St. Anthony of Padua Catholic Elementary School,Catholic,Elementary,JK-8
Milton,St. Benedict Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Bernadette Catholic Elementary School,Catholic,Elementary,JK-8
Georgetown,St. Brigid Catholic Elementary School,Catholic,Elementary,JK-8
Georgetown,St. Catherine of Alexandria Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,St. Christopher Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Dominic Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,St. Elizabeth Seton Catholic Elementary School,Catholic,Elementary,JK-8
Georgetown,St. Francis of Assisi Catholic Elementary School,Catholic,Elementary,JK-8
Milton,St. Francis of Xavier Catholic Secondary School,Catholic,Secondary,9-12
Burlington,St. Gabriel Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Gregory the Great Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Ignatius of Loyola Catholic Secondary School,Catholic,Secondary,9-12
Oakville,St. Joan of Arc Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,St. John (Burlington) Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. John Paul II Catholic Elementary School,Catholic,Elementary,JK-8
Acton,St. Joseph (Acton) Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Luke Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Marguerite d'Youville Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,St. Mark Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Mary Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Matthew Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Michael Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Nicholas Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,St. Patrick Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,St. Paul Catholic Elementary School,Catholic,Elementary,JK-8
Milton,St. Peter Catholic Elementary School,Catholic,Elementary,JK-8
Burlington,St. Raphael Catholic Elementary School,Catholic,Elementary,JK-8
Town of Milton,St. Scholastica Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Teresa of Calcutta Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Thomas Aquinas Catholic Secondary School,Catholic,Secondary,9-12
Burlington,St. Timothy Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,St. Vincent Catholic Elementary School,Catholic,Elementary,JK-8
Oakville,Abbey Lane Public School,Public,Elementary,JK-8
Oakville,Abbey Park High School,Public,Secondary,9-12
Acton,Acton District High School,Public,Secondary,9-12
Burlington,Aldershot Elementary School,Public,Elementary,7-8
Burlington,Aldershot High School,Public,Secondary,9-12
BURLINGTON,Alexander's Public School,Public,Elementary,JK-8
Burlington,Alton Village Public School,Public,Elementary,JK-8
Milton,Anne J. MacArthur Public School,Public,Elementary,JK-8
Milton,Boyne Public School,Public,Elementary,JK-8
Burlington,Brant Hills Public School,Public,Elementary,JK-8
Oakville,Brookdale Public School,Public,Elementary,JK-8
Campbellville,Brookville Public School,Public,Elementary,JK-8
Burlington,Bruce T Lindley,Public,Elementary,JK-6
Milton,Bruce Trail Public School,Public,Elementary,JK-8
Burlington,Burlington Central Elementary School,Public,Elementary,7-8
Burlington,Burlington Central High School,Public,Secondary,9-12
Burlington,C H Norton Public School,Public,Elementary,JK-8
Oakville,Captain R. Wilson Public School,Public,Elementary,JK-8
Georgetown,Centennial Middle School,Public,Elementary,6-8
Burlington,Central Public School,Public,Elementary,JK-6
Burlington,Charles R. Beaudoin Public School,Public,Elementary,JK-8
Milton,Chris Hadfield Public School,Public,Elementary,JK-8
Burlington,Clarksdale Public School,Public,Elementary,JK-6
Milton,Craig Kielburger Secondary School,Public,Secondary,9-12
Burlington,Dr Charles Best Public School,Public,Elementary,JK-5
Burlington,Dr. Frank J. Hayden Secondary School,Public,Secondary,9-12
Oakville,E J James Public School,Public,Elementary,1-8
Milton,E W Foster School,Public,Elementary,JK-5
Oakville,Eastview Public School,Public,Elementary,JK-8
Oakville,Emily Carr Public School,Public,Elementary,JK-8
Milton,Escarpment View Public School,Public,Elementary,JK-8
Georgetown,Ethel Gardiner Public School,Public,Elementary,JK-8
Oakville,Falgarwood Public School,Public,Elementary,JK-8
Burlington,Florence Meares Public School,Public,Elementary,JK-8
Oakville,Forest Trail Public School (Elementary),Public,Elementary,1-8
Burlington,Frontenac Public School,Public,Elementary,JK-8
Oakville,Garth Webb Secondary School,Public,Secondary,9-12
Georgetown,George Kennedy Public School,Public,Elementary,JK-6
Georgetown,Georgetown District High School,Public,Secondary,9-12
Oakville,Gladys Speers Public School,Public,Elementary,JK-6
Glen Williams,Glen Williams Public School,Public,Elementary,JK-5
Burlington,Glenview Public School,Public,Elementary,JK-6
Georgetown,Harrison Public School,Public,Elementary,JK-5
Milton,Hawthorne Village Public School,Public,Elementary,JK-8
Oakville,Heritage Glen Public School,Public,Elementary,JK-8
Milton,Irma Coulson Elementary Public School,Public,Elementary,JK-8
Oakville,Iroquois Ridge High School,Public,Secondary,9-12
Milton,J M Denyes Public School,Public,Elementary,JK-5
Oakville,James W. Hill Public School,Public,Elementary,JK-8
Burlington,John T Tuck Public School,Public,Elementary,JK-8
Burlington,John William Boich Public School,Public,Elementary,JK-8
Georgetown,Joseph Gibbons Public School,Public,Elementary,JK-5
Oakville,Joshua Creek Public School,Public,Elementary,JK-8
Kilbride,Kilbride Public School,Public,Elementary,JK-8
Burlington,Kings Road Public School,Public,Elementary,JK-6
Burlington,Lakeshore Public School,Public,Elementary,JK-6
Limehouse,Limehouse Public School,Public,Elementary,JK-5
Burlington,M M Robinson High School,Public,Secondary,9-12
Oakville,Maple Grove Public School,Public,Elementary,JK-8
Burlington,Maplehurst Public School,Public,Elementary,JK-6
Milton,Martin Street Public School,Public,Elementary,JK-8
Acton,McKenzie-Smith Bennett,Public,Elementary,JK-8
Milton,Milton District High School,Public,Secondary,9-12
Burlington,Mohawk Gardens Public School,Public,Elementary,JK-6
Oakville,Montclair Public School,Public,Elementary,JK-8
Oakville,Munn's Public School,Public,Elementary,1-8
Burlington,Nelson High School,Public,Secondary,9-12
Oakville,New Central Public School,Public,Elementary,JK-6
Oakville,Oakville Trafalgar High School,Public,Secondary,9-12
Oakville,Oakwood Public School,Public,Elementary,JK-6
Oakville,Oodenawi Public School,Public,Elementary,JK-8
Burlington,Orchard Park Public School,Public,Elementary,JK-8
Milton,P. L. Robertson Public School,Public,Elementary,JK-8
Oakville,Palermo Public School,Public,Elementary,JK-8
Georgetown,Park Public School,Public,Elementary,JK-6
Burlington,Paul A Fisher Public School,Public,Elementary,JK-6
Burlington,Pauline Johnson Public School,Public,Elementary,JK-6
Oakville,Pilgrim Wood Public School,Public,Elementary,JK-8
Oakville,Pine Grove Public School,Public,Elementary,1-8
Burlington,Pineland Public School,Public,Elementary,JK-8
Georgetown,Pineview Public School,Public,Elementary,JK-5
Oakville,Post's Corners Public School,Public,Elementary,JK-8
Oakville,River Oaks Public School,Public,Elementary,JK-8
Milton,Robert Baldwin Public School,Public,Elementary,JK-5
Burlington,Robert Bateman High School,Public,Secondary,9-12
Acton,Robert Little Public School,Public,Elementary,JK-5
Burlington,Rolling Meadows Public School,Public,Elementary,JK-8
Burlington,Ryerson Public School,Public,Elementary,JK-6
Milton,Sam Sherratt Public School,Public,Elementary,JK-8
Oakville,Sheridan Public School,Public,Elementary,JK-5
Georgetown,Silver Creek Public School,Public,Elementary,JK-8
Burlington,Sir Ernest Macmillan Public School,Public,Elementary,JK-8
Georgetown,Stewarttown Middle School,Public,Elementary,6-8
Oakville,Sunningdale Public School,Public,Elementary,1-8
Burlington,Tecumseh Public School,Public,Elementary,JK-8
Oakville,Thomas A Blakelock High School,Public,Secondary,9-12
Milton,Tiger Jeet Singh Public School,Public,Elementary,JK-8
Burlington,Tom Thomson Public School,Public,Elementary,JK-6
Milton,Viola Desmond Public School,Public,Elementary,JK-8
Oakville,W H Morden Public School,Public,Elementary,JK-8
Milton,W I Dick Middle School,Public,Elementary,5-8
Oakville,West Oak Public School,Public,Elementary,JK-8
Oakville,White Oaks High School,Public,Secondary,9-12
Hamilton,Annunciation of Our Lord Catholic Elementary School,Catholic,Elementary,JK-8
Hannon,Bishop Ryan Catholic Secondary School,Catholic,Secondary,9-12
Ancaster,Bishop Tonnos Catholic Secondary School,Catholic,Secondary,9-12
Hamilton,Blessed Sacrament Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,Canadian Martyrs Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,Cathedral High School,Catholic,Secondary,9-12
Hamilton,Corpus Christi Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,Guardian Angels Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,Holy Name of Jesus Catholic Elementary School,Catholic,Elementary,JK-8
Ancaster,Holy Name of Mary Catholic Elementary School,Catholic,Elementary,JK-8
Ancaster,Immaculate Conception Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,Immaculate Heart of Mary Catholic Elementary School,Catholic,Elementary,JK-8
Binbrook,Our Lady of Hope Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,Our Lady of Lourdes Catholic Elementary School,Catholic,Elementary,JK-8
Carlisle,Our Lady of Mount Carmel Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,Our Lady of Peace Catholic Elementary School,Catholic,Elementary,JK-8
Hannon,Our Lady of the Assumption Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,Regina Mundi Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,Sacred Heart of Jesus Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Agnes Catholic Elementary School,Catholic,Elementary,JK-8
Ancaster,St. Ann (Ancaster) Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Ann (Hamilton) Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Anthony Daniel Catholic Elementary School,Catholic,Elementary,JK-8
Dundas,St. Augustine Catholic Elementary School,Catholic,Elementary,JK-8
Dundas,St. Bernadette Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,St. Clare of Assisi Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. David Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Eugene Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,St. Francis Xavier Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,St. Gabriel Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,St. James the Apostle Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Jean de Brebeuf Catholic Secondary School,Catholic,Secondary,9-12
Ancaster,St. Joachim Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,St. John Henry Newman Catholic Secondary School,Catholic,Secondary,9-12
Hamilton,St. John Paul II Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. John the Baptist Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Joseph Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Kateri Tekakwitha Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Lawrence Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Luke Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Margaret Mary Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Marguerite d'Youville Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,St. Mark Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,St. Martin of Tours Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Mary Catholic Secondary School,Catholic,Secondary,9-12
Binbrook,St. Matthew Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Michael Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Patrick Catholic Elementary School,Catholic,Elementary,JK-8
Stoney Creek,St. Paul Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Teresa of Avila Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Teresa of Calcutta Catholic Elementary School,Catholic,Elementary,JK-8
Waterdown,St. Thomas Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Thomas More Catholic Secondary School,Catholic,Secondary,9-12
Hamilton,St. Thérèse of Lisieux Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,St. Vincent de Paul Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,Sts. Peter and Paul Catholic Elementary School,Catholic,Elementary,JK-8
Hamilton,A M Cunningham Junior Public School,Public,Elementary,JK-5
Hamilton,Adelaide Hoodless Public School,Public,Elementary,JK-8
Waterdown,Allan A Greenleaf,Public,Elementary,JK-8
Ancaster,Ancaster Meadow Elementary Public School,Public,Elementary,JK-8
Freelton,Balaclava Public School,Public,Elementary,JK-8
Binbrook,Bellmoore Public School,Public,Elementary,JK-8
Hamilton,Bennetto Elementary School,Public,Elementary,JK-8
Hamilton,Bernie Custis Secondary School Secondary School,Public,Secondary,9-12
Stoney Creek,Billy Green Elementary School,Public,Elementary,JK-8
Hamilton,Buchanan Park School,Public,Elementary,JK-6
Hamilton,Cathy Wever Elementary Public School,Public,Elementary,JK-8
Hamilton,Cecil B Stirling School,Public,Elementary,JK-8
Hamilton,Central Junior Public School,Public,Elementary,JK-5
Hamilton,Chedoke Middle School,Public,Elementary,JK-8
Hamilton,Cootes Paradise Public School,Public,Elementary,JK-5
Hamilton,Dalewood Senior Public School,Public,Elementary,6-8
Hamilton,Dr. J. Edgar Davey (New) Elementary Public School,Public,Elementary,JK-8
Dundas,Dundana Public School,Public,Elementary,JK-5
Dundas,Dundas Central Public School,Public,Elementary,JK-8
Dundas,Dundas Valley Secondary School,Public,Secondary,9-12
Hamilton,Earl Kitchener Junior Public School,Public,Elementary,JK-5
Stoney Creek,Eastdale Public School,Public,Elementary,JK-8
Hamilton,Elizabeth Bagshaw School,Public,Elementary,JK-8
Hamilton,Flamborough Centre School,Public,Elementary,JK-8
Ancaster,Frank Panabaker North School,Public,Elementary,JK-6
Ancaster,Frank Panabaker South Senior Public School,Public,Elementary,JK-8
Hamilton,Franklin Road Elementary Public School,Public,Elementary,JK-8
Stoney Creek,Gatestone Elementary Public School,Public,Elementary,JK-8
Hamilton,Gateway Alternative Education,Public,Elementary,1-8
Hamilton,George L Armstrong Public School,Public,Elementary,JK-8
Hamilton,Glen Brae Middle School,Public,Elementary,6-8
Hamilton,Glen Echo Junior Public School,Public,Elementary,JK-5
Hamilton,Glendale Secondary School,Public,Secondary,9-12
Hamilton,Glenwood School School,Public,Elementary,K-8
Hamilton,Gordon Price School,Public,Elementary,JK-8
Stoney Creek,Green Acres School,Public,Elementary,JK-8
Waterdown,Guy B Brown Elementary Public School,Public,Elementary,JK-8
Hamilton,Helen Detwiler Junior Elementary School,Public,Elementary,JK-8
Hamilton,Hess Street Junior Public School,Public,Elementary,JK-8
Hamilton,Highview Public School,Public,Elementary,JK-8
Hamilton,Hill Park System Alternative Education,Public,Secondary,9-12
Hamilton,Hillcrest Elementary Public School,Public,Elementary,JK-8
Hamilton,Holbrook Junior Public School,Public,Elementary,JK-6
Hamilton,Huntington Park Junior Public School,Public,Elementary,JK-8
Hamilton,James MacDonald Public School,Public,Elementary,JK-6
Stoney Creek,Janet Lee Public School,Public,Elementary,JK-8
Stoney Creek,Lake Avenue Public School,Public,Elementary,JK-8
Hamilton,Lawfield Elementary School,Public,Elementary,JK-8
Hamilton,Lincoln Alexander Public School,Public,Elementary,JK-6
Hamilton,Lisgar Junior Public School,Public,Elementary,JK-8
Waterdown,Mary Hopkins Public School,Public,Elementary,JK-5
Hamilton,Memorial (City) School,Public,Elementary,JK-8
Stoney Creek,Memorial Public School,Public,Elementary,JK-8
Millgrove,Millgrove Public School,Public,Elementary,JK-5
Stoney Creek,Mount Albion Public School,Public,Elementary,JK-8
Mount Hope,Mount Hope Public School,Public,Elementary,JK-8
Stoney Creek,Mountain View Public School,Public,Elementary,JK-8
Hamilton,Mountview Junior Public School,Public,Elementary,JK-6
Dundas,New Greensville School,Public,Elementary,JK-8
Hamilton,Nora Henderson,Public,Secondary,9-12
Hamilton,Nora Henderson Secondary School,Public,Secondary,9-12
Hamilton,Norwood Park Elementary School,Public,Elementary,JK-8
Stoney Creek,Orchard Park Secondary School,Public,Secondary,9-12
Hamilton,Parkdale School,Public,Elementary,JK-5
Hamilton,Pauline Johnson Public School,Public,Elementary,JK-8
Hamilton,Prince of Wales Elementary Public School,Public,Elementary,JK-8
Hamilton,Queen Mary Public School,Public,Elementary,JK-8
Hamilton,Queen Victoria Elementary Public School,Public,Elementary,JK-8
Hamilton,Queensdale School,Public,Elementary,JK-8
Hamilton,R A Riddell Public School,Public,Elementary,JK-8
Stoney Creek,R L Hyslop Elementary School,Public,Elementary,JK-8
Hamilton,Ray Lewis (Elementary) School,Public,Elementary,JK-8
Hamilton,Rebecca Street Alternative Education Secondary School,Public,Secondary,9-12
Hamilton,Richard Beasley Junior Public School,Public,Elementary,JK-5
Hamilton,Ridgemount Junior Public School,Public,Elementary,JK-8
Troy,Rockton Beverly Central Public School,Public,Elementary,JK-5
Sheffield,Rockton Dr John Seaton Senior Public School,Public,Elementary,JK-8
"Rockton, Ontario",Rockton School,Public,Elementary,JK-8
Hamilton,Rosedale Elementary School,Public,Elementary,JK-5
Ancaster,Rousseau Public School,Public,Elementary,JK-6
Hamilton,Ryerson Middle School,Public,Elementary,6-8
Stoney Creek,Saltfleet High School,Public,Secondary,9-12
Hamilton,Shannen Koostachin Elementary School Elementary Public School,Public,Elementary,JK-8
Hamilton,Sherwood Secondary School,Public,Secondary,9-12
Hamilton,Sir Allan MacNab Secondary School,Public,Secondary,9-12
Hamilton,Sir Isaac Brock Junior Public School,Public,Elementary,JK-5
Hamilton,Sir Wilfrid Laurier Public School,Public,Elementary,JK-8
Dundas,Sir William Osler Elementary School,Public,Elementary,JK-8
Hamilton,Sir Winston Churchill Secondary School,Public,Secondary,9-12
Greensville,Spencer Valley Public School,Public,Elementary,JK-8
Copetown,Spring Valley Public School,Public,Elementary,JK-6
Ancaster,Spring Valley School,Public,Elementary,JK-8
Hamilton,Strathcona Junior Public School,Public,Elementary,JK-5
Stoney Creek,Tapleytown Public School,Public,Elementary,JK-8
Hamilton,Templemead Elementary School,Public,Elementary,JK-8
Ancaster,Tiffany Hills Elementary Public School,Public,Elementary,JK-8
Hamilton,Viscount Montgomery Public School,Public,Elementary,JK-8
Hamilton,W H Ballard Public School,Public,Elementary,JK-8
Waterdown,Waterdown District High School,Public,Secondary,9-12
Hamilton,Westdale Secondary School,Public,Secondary,9-12
Hamilton,Westmount Secondary School,Public,Secondary,9-12
Hamilton,Westview Middle School,Public,Elementary,6-8
Hamilton,Westwood Junior Public School,Public,Elementary,JK-5
Stoney Creek,Winona Elementary Elementary School,Public,Elementary,JK-8
Dundas,Yorkview School,Public,Elementary,JK-5
Hamilton,École élémentaire Michaëlle Jean Elementary School,Public,Elementary,1-8
Cherry Valley,Athol-South Marysburgh School Public School,Public,Elementary,JK-8
Belleville,Bayside Public School,Public,Elementary,JK-8
Belleville,Bayside Secondary School,Public,Secondary,9-12
Belleville,Bayside Secondary School - Elementary (Elementary),Public,Elementary,7-8
Bancroft,Birds Creek Public School,Public,Elementary,JK-6
Wellington,C M L Snider Elementary School,Public,Elementary,JK-8
Belleville,Centennial Secondary School,Public,Secondary,9-12
Belleville,Centennial Secondary School Elementary School,Public,Elementary,7-8
Madoc,Centre Hastings Secondary School,Public,Secondary,9-12
Coe Hill,Coe Hill Public School,Public,Elementary,JK-6
Deseronto,Deseronto Public School,Public,Elementary,JK-8
Belleville,Eastside Secondary School,Public,Secondary,9-12
Foxboro,Foxboro Public School,Public,Elementary,JK-8
Frankford,Frankford Public School,Public,Elementary,JK-8
Corbyville,Harmony Public School,Public,Elementary,JK-8
Belleville,Harry J Clarke Public School,Public,Elementary,JK-8
Bancroft,Hermon Public School,Public,Elementary,JK-6
Ameliasburgh,Kente Public School,Public,Elementary,JK-8
Madoc,Madoc Public School,Public,Elementary,JK-8
Madoc,Madoc Township Public School,Public,Elementary,JK-8
Marmora,Marmora Public School,Public,Elementary,JK-8
Belleville,Massassaga-Rednersville Public School,Public,Elementary,JK-6
Maynooth,Maynooth Public School,Public,Elementary,JK-6
Bancroft,North Hastings High School,Public,Secondary,9-12
Bancroft,North Hastings High School - Elementary (Elementary),Public,Elementary,7-8
Trenton,North Trenton Public School,Public,Elementary,JK-6
Belleville,Park Dale Public School,Public,Elementary,JK-8
Trenton,Prince Charles Public School,Public,Elementary,JK-6
Belleville,Prince Charles Public School,Public,Elementary,JK-6
Picton,Prince Edward Collegiate Institute,Public,Secondary,9-12
Picton,Prince Edward Collegiate Institute Elementary School,Public,Elementary,JK-8
Belleville,Prince of Wales Public School,Public,Elementary,JK-8
Belleville,Queen Elizabeth Public School,Public,Elementary,JK-8
Belleville,Queen Victoria School,Public,Elementary,JK-6
Belleville,Sir John A Macdonald Public School,Public,Elementary,JK-6
Picton,Sophiasburgh Central Public School,Public,Elementary,JK-8
Stirling,Stirling Public School,Public,Elementary,JK-8
Belleville,Susanna Moodie Senior Elementary School,Public,Elementary,JK-8
Trenton,Trent River Public School,Public,Elementary,JK-6
Trenton,Trenton High School,Public,Secondary,9-12
Trenton,Trenton High School Elementary School,Public,Elementary,7-8
Tweed,Tweed Elementary School,Public,Elementary,JK-8
Shannonville,Tyendinaga Public School,Public,Elementary,JK-8
Trenton,V P Carswell Public School,Public,Elementary,JK-6
Bancroft,York River Public School,Public,Elementary,JK-8
St Marys,Holy Name of Mary School,Catholic,Elementary,JK-8
Stratford,Jeanne Sauvé Catholic School,Catholic,Elementary,JK-8
Dashwood,Our Lady of Mt Carmel School,Catholic,Elementary,JK-8
Exeter,Precious Blood Separate School,Catholic,Elementary,JK-8
Wingham,Sacred Heart Separate School,Catholic,Elementary,JK-8
Stratford,St Aloysius School,Catholic,Elementary,JK-8
Stratford,St Ambrose Separate School,Catholic,Elementary,JK-8
Clinton,St Anne's Catholic School,Catholic,Secondary,9-12
Zurich,St Boniface Separate School,Catholic,Elementary,JK-8
Dublin,St Columban Separate School,Catholic,Elementary,1-8
Seaforth,St James Separate School,Catholic,Elementary,JK-8
Clinton,St Joseph Separate School,Catholic,Elementary,JK-8
Stratford,St Joseph Separate School,Catholic,Elementary,JK-8
Listowel,St Mary's Separate School,Catholic,Elementary,JK-8
Goderich,St Marys Separate School,Catholic,Elementary,JK-8
Stratford,St Michael Catholic Secondary School,Catholic,Secondary,9-12
Sebringville,St Patricks Separate School,Catholic,Elementary,JK-8
Dublin,St Patricks Separate School,Catholic,Elementary,JK-3
