schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Severn Bridge,K P Manson Public School,Public,Elementary,JK-8
Lindsay,King Albert Public School,Public,Elementary,JK-6
Omemee,Lady Eaton Elementary School,Public,Elementary,JK-6
Kirkfield,Lady Mackenzie Public School,Public,Elementary,JK-8
Fenelon Falls,Langton Public School,Public,Elementary,JK-8
Lindsay,Leslie Frost Public School,Public,Elementary,JK-6
Bracebridge,Macaulay Public School,Public,Elementary,JK-8
Oakwood,Mariposa Elementary School,Public,Elementary,JK-8
Bracebridge,Monck Public School,Public,Elementary,JK-8
Gravenhurst,Muskoka Beechgrove Public School,Public,Elementary,JK-8
Bracebridge,Muskoka Falls Public School,Public,Elementary,JK-8
Lindsay,Parkview Public School,Public,Elementary,JK-8
Huntsville,Pine Glen Public School,Public,Elementary,JK-8
Lindsay,Queen Victoria Public School,Public,Elementary,JK-6
Coboconk,Ridgewood Public School,Public,Elementary,JK-8
Huntsville,Riverside Public School,Public,Elementary,JK-8
Bethany,Rolling Hills Public School,Public,Elementary,1-8
Omemee,Scott Young Public School,Public,Elementary,1-8
Huntsville,Spruce Glen Public School,Public,Elementary,JK-8
Haliburton,Stuart W Baker Elementary School,Public,Elementary,JK-3
Utterson,V K Greer Memorial Public School,Public,Elementary,JK-8
Utterson,Watt Public School,Public,Elementary,JK-8
Wilberforce,Wilberforce Elementary School,Public,Elementary,4-8
Woodville,Woodville Elementary School,Public,Elementary,JK-8
Almonte,Almonte District High School,Public,Secondary,9-12
Almonte,Almonte Intermediate School,Public,Elementary,7-8
Carleton Place,Arklan Community Public School,Public,Elementary,JK-6
Athens,Athens District High School,Public,Secondary,9-12
Athens,Athens Intermediate School,Public,Elementary,7-8
Brockville,BCI Intermediate School,Public,Elementary,7-8
Carleton Place,Beckwith Public School,Public,Elementary,JK-6
Cornwall,Bridgewood Public School,Public,Elementary,JK-6
Brockville,Brockville Collegiate Institute,Public,Secondary,9-12
Carleton Place,Caldwell Street Elementary School,Public,Elementary,JK-6
Embrun,Cambridge Public School,Public,Elementary,JK-6
Carleton Place,Carleton Place High School,Public,Secondary,9-12
Carleton Place,Carleton Place Intermediate School,Public,Elementary,7-8
Spencerville,Centennial 67 Public School,Public,Elementary,JK-6
Cornwall,Central Public School,Public,Elementary,JK-6
Williamstown,Char-Lan Intermediate School,Public,Elementary,7-8
Williamstown,Charlottenburgh and Lancaster District High School,Public,Secondary,9-12
Chesterville,Chesterville Public School,Public,Elementary,JK-6
Smiths Falls,Chimo Elementary School,Public,Elementary,JK-8
Brockville,Commonwealth Public School,Public,Elementary,JK-6
Cornwall,Cornwall Collegiate and Vocational School,Public,Secondary,9-12
Cornwall,Cornwall Intermediate School,Public,Elementary,7-8
Perth,Drummond Central School,Public,Elementary,JK-6
Smiths Falls,Duncan J Schoular Public School,Public,Elementary,JK-8
Cornwall,Eamer's Corners Public School,Public,Elementary,JK-6
Mallorytown,Front of Yonge Elementary School,Public,Elementary,JK-6
Gananoque,Gananoque Intermediate School,Public,Elementary,7-8
Gananoque,Gananoque Secondary School,Public,Secondary,9-12
Perth,Glen Tay Public School,Public,Elementary,JK-6
Alexandria,Glengarry District High School,Public,Secondary,9-12
Alexandria,Glengarry Intermediate School,Public,Elementary,7-8
Iroquois,Iroquois Public School,Public,Elementary,JK-6
Kemptville,Kemptville Public School,Public,Elementary,JK-6
Dalkeith,Laggan Public School,Public,Elementary,JK-6
Gananoque,Linklater Public School,Public,Elementary,JK-6
Lombardy,Lombardy Public School,Public,Elementary,JK-8
Long Sault,Longue Sault Public School,Public,Elementary,JK-6
Lyn,Lyn Public School,Public,Elementary,JK-6
Lanark,Maple Grove Public School,Public,Elementary,JK-6
Maxville,Maxville Public School,Public,Elementary,JK-6
Prescott,Maynard Public School,Public,Elementary,JK-6
Addison,Meadowview Public School,Public,Elementary,JK-6
Merrickville,Merrickville Public School,Public,Elementary,JK-6
Smiths Falls,Montague Public School,Public,Elementary,JK-8
Morrisburg,Morrisburg Public School,Public,Elementary,JK-6
Almonte,Naismith Memorial Public School,Public,Elementary,JK-6
South Mountain,Nationview Public School,Public,Elementary,JK-6
Chesterville,North Dundas District High School,Public,Secondary,9-12
Chesterville,North Dundas Intermediate School,Public,Elementary,7-8
Perth,North Elmsley Public School,Public,Elementary,JK-6
Kemptville,North Grenville District High School,Public,Secondary,9-12
Kemptville,North Grenville Intermediate School,Public,Elementary,7-8
Berwick,North Stormont Public School,Public,Elementary,JK-6
Oxford Mills,Oxford on Rideau Public School,Public,Elementary,JK-6
Pakenham,Pakenham Public School,Public,Elementary,JK-6
Perth,Perth Intermediate School,Public,Elementary,7-8
Perth,Perth and District Collegiate Institute,Public,Secondary,9-12
Athens,Pineview Public School,Public,Elementary,JK-6
Vankleek Hill,Pleasant Corners Public School,Public,Elementary,JK-8
Almonte,R Tait McKenzie Public School,Public,Elementary,JK-6
Elgin,Rideau District High School,Public,Secondary,9-12
Elgin,Rideau Intermediate School,Public,Elementary,7-8
Westport,Rideau Vista Public School,Public,Elementary,JK-6
Rockland,Rockland District High School,Public,Secondary,9-12
Rockland,Rockland Intermediate School,Public,Elementary,7-8
Rockland,Rockland Public School,Public,Elementary,JK-6
Ingleside,Rothwell-Osnabruck Elementary School,Public,Elementary,JK-6
Avonmore,Roxmore Public School,Public,Elementary,JK-6
Russell,Russell High School,Public,Secondary,9-12
Russell,Russell Intermediate School,Public,Elementary,7-8
Russell,Russell Public Public School,Public,Elementary,JK-6
Iroquois,Seaway District High School,Public,Secondary,9-12
Iroquois,Seaway Intermediate School,Public,Elementary,7-8
Smiths Falls,Smiths Falls District Collegiate Institute,Public,Secondary,9-12
Kemptville,South Branch Elementary School,Public,Elementary,JK-6
Elgin,South Crosby Public School,Public,Elementary,JK-6
Johnstown,South Edwardsburg Public School,Public,Elementary,JK-6
Prescott,South Grenville District High School,Public,Secondary,9-12
Prescott,South Grenville Intermediate School,Public,Elementary,7-8
Cornwall,St Lawrence Intermediate School,Public,Elementary,7-8
Cornwall,St Lawrence Secondary School,Public,Secondary,9-12
Lyndhurst,Sweet's Corners Public School,Public,Elementary,JK-6
Avonmore,Tagwi Intermediate School,Public,Elementary,7-8
Avonmore,Tagwi Secondary School,Public,Secondary,9-12
Perth,The Queen Elizabeth School,Public,Elementary,JK-6
Perth,The Stewart Public School,Public,Elementary,JK-6
Lansdowne,Thousand Islands Elementary School,Public,Elementary,JK-6
Brockville,Thousand Islands Intermediate School,Public,Elementary,7-8
Brockville,Thousand Islands Secondary School,Public,Secondary,9-12
Brockville,Toniata Public School,Public,Elementary,JK-6
Brockville,Vanier Public School,Public,Elementary,JK-6
Vankleek Hill,Vankleek Hill Collegiate Institute,Public,Secondary,9-12
Cornwall,Viscount Alexander Public School,Public,Elementary,JK-6
Prescott,Wellington Elementary Public School,Public,Elementary,JK-6
Brockville,Westminster Public School,Public,Elementary,JK-6
Williamstown,Williamstown Public School,Public,Elementary,JK-6
Winchester,Winchester Public School,Public,Elementary,JK-6
Puslinch,Aberfoyle Public School,Public,Elementary,JK-8
Alma,Alma Public School,Public,Elementary,JK-6
Arthur,Arthur Public School,Public,Elementary,JK-8
Guelph,Brant Avenue Public School,Public,Elementary,JK-6
ERIN,Brisbane Public School,Public,Elementary,JK-6
Guelph,Centennial Collegiate and Vocational Institute,Public,Secondary,9-12
Shelburne,Centennial Hylands Elementary School,Public,Elementary,JK-8
Guelph,Central Public School,Public,Elementary,JK-6
Shelburne,Centre Dufferin District High School,Public,Secondary,9-12
Drayton,Centre Peel Public School,Public,Elementary,JK-8
Fergus,Centre Wellington District High School,Public,Secondary,9-12
Orangeville,Credit Meadows Elementary School,Public,Elementary,JK-8
Guelph,Day School -Wellington Centre For ContEd,Public,Secondary,9-12
Drayton,Drayton Heights Public School,Public,Elementary,JK-8
Orton,East Garafraxa Central Public School,Public,Elementary,JK-8
Guelph,Ecole Arbour Vista Public School,Public,Elementary,JK-8
Guelph,Ecole Guelph Lake Public School,Public,Elementary,JK-8
Rockwood,Ecole Harris Mill Public School,Public,Elementary,JK-6
Guelph,Ecole King George Public School,Public,Elementary,JK-8
Guelph,Edward Johnson Public School,Public,Elementary,JK-6
Elora,Elora Public School,Public,Elementary,JK-8
Rockwood,Eramosa Public School,Public,Elementary,JK-6
Erin,Erin District High School,Public,Secondary,9-12
Erin,Erin Public School,Public,Elementary,JK-8
Guelph,Fred A Hamilton Public School,Public,Elementary,JK-6
Guelph,Gateway Drive Public School,Public,Elementary,JK-8
Shelburne,Glenbrook Elementary School,Public,Elementary,JK-8
Grand Valley,Grand Valley & District Public School,Public,Elementary,JK-8
Guelph,Guelph Collegiate and Vocational Institute,Public,Secondary,9-12
Shelburne,Hyland Heights Elementary School,Public,Elementary,JK-8
Orangeville,Island Lake Public School,Public,Elementary,JK-8
Fergus,J Douglas Hogarth Public School,Public,Elementary,JK-8
Fergus,James McQueen Public School,Public,Elementary,JK-6
Guelph,Jean Little Public School,Public,Elementary,JK-8
Fergus,John Black Public School,Public,Elementary,JK-8
Guelph,John F Ross Collegiate and Vocational Institute,Public,Secondary,9-12
Guelph,John Galt Public School,Public,Elementary,JK-8
Guelph,John McCrae Public School,Public,Elementary,JK-8
Guelph,June Avenue Public School,Public,Elementary,JK-8
Guelph,Ken Danby Public School,Public,Elementary,JK-8
Kenilworth,Kenilworth Public School,Public,Elementary,JK-6
Guelph,Kortright Hills Public School,Public,Elementary,JK-8
ORANGEVILLE,Laurelwoods Elementary School,Public,Elementary,JK-8
Moorefield,Maryborough Public School,Public,Elementary,JK-6
Harriston,Minto-Clifford Central Public School,Public,Elementary,JK-8
Guelph,Mitchell Woods Public School,Public,Elementary,JK-8
Mono,Mono-Amaranth Public School,Public,Elementary,JK-8
Orangeville,Montgomery Village Public School,Public,Elementary,JK-8
Palmerston,Norwell District Secondary School,Public,Secondary,9-12
Orangeville,Orangeville District Secondary School,Public,Secondary,9-12
Guelph,Ottawa Crescent Public School,Public,Elementary,JK-6
Guelph,Paisley Road Public School,Public,Elementary,JK-6
Palmerston,Palmerston Public School,Public,Elementary,JK-8
Orangeville,Parkinson Centennial School,Public,Elementary,JK-8
GUELPH,Ponsonby Public School,Public,Elementary,JK-6
Mulmur,Primrose Elementary School,Public,Elementary,JK-8
Orangeville,Princess Elizabeth Public School,Public,Elementary,JK-8
Orangeville,Princess Margaret Public School,Public,Elementary,JK-8
Guelph,Priory Park Public School,Public,Elementary,JK-6
Guelph,Rickson Ridge Public School,Public,Elementary,JK-8
Rockwood,Rockwood Centennial Public School,Public,Elementary,JK-8
Hillsburgh,Ross R MacKay Public School,Public,Elementary,JK-6
Elora,Salem Public School,Public,Elementary,JK-6
Guelph,Sir Isaac Brock Public School,Public,Elementary,JK-8
Orangeville,Spencer Avenue Elementary School,Public,Elementary,JK-8
Guelph,Taylor Evans Public School,Public,Elementary,JK-8
Mount Forest,Victoria Cross Public School,Public,Elementary,JK-8
Fergus,Victoria Terrace Public School,Public,Elementary,JK-6
Guelph,Victory Public School,Public,Elementary,JK-6
Guelph,Waverley Drive Public School,Public,Elementary,JK-8
Mount Forest,Wellington Heights Secondary School,Public,Secondary,9-12
Guelph,Westminster Woods Public School,Public,Elementary,JK-8
Orangeville,Westside Secondary School,Public,Secondary,9-12
Guelph,Westwood Public School,Public,Elementary,JK-8
Guelph,William C. Winegard Public School,Public,Elementary,JK-8
Guelph,Willow Road Public School,Public,Elementary,JK-8
Kitchener,Blessed Sacrament Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,Canadian Martyrs Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,Christ The King Catholic Elementary School,Catholic,Elementary,JK-8
New Hamburg,Holy Family Catholic Elementary School,Catholic,Elementary,JK-8
Waterloo,Holy Rosary Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,Holy Spirit Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,John Sweeney Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,Monsignor Doyle Catholic Secondary School,Catholic,Secondary,9-12
Kitchener,Monsignor Haller Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,Our Lady of Fatima Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,Our Lady of Grace Catholic Elementary School,Catholic,Elementary,JK-8
Waterloo,Our Lady of Lourdes Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,Resurrection Catholic Secondary School,Catholic,Secondary,9-12
Kitchener,Saint John Paul II Catholic Elementary School,Catholic,Elementary,JK-8
Waterloo,Sir Edgar Bauer Catholic Elementary School,Catholic,Elementary,JK-8
Waterloo,St Agnes Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Aloysius Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Anne Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Anne Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Augustine Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Benedict Catholic Secondary School,Catholic,Secondary,9-12
Kitchener,St Bernadette Catholic Elementary School,Catholic,Elementary,JK-8
Maryhill,St Boniface Catholic Elementary School,Catholic,Elementary,JK-8
Ayr,St Brigid Catholic Elementary School,Catholic,Elementary,JK-8
St Clements,St Clement Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Daniel Catholic Elementary School,Catholic,Elementary,JK-8
Waterloo,St David Catholic Secondary School,Catholic,Secondary,9-12
Kitchener,St Dominic Savio Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Elizabeth Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Gabriel Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Gregory Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St John Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Joseph Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Kateri Tekakwitha Catholic Elementary School,Catholic,Elementary,JK-8
Waterloo,St Luke Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Margaret Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Mark Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Mary's High School,Catholic,Secondary,9-12
Waterloo,St Matthew Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Michael Catholic Elementary School,Catholic,Elementary,JK-8
Waterloo,St Nicholas Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Paul Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Peter Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Teresa Catholic Elementary School,Catholic,Elementary,JK-8
Elmira,St Teresa of Avila Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,St Timothy Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St Vincent de Paul Catholic Elementary School,Catholic,Elementary,JK-8
Cambridge,St. Teresa of Calcutta Catholic Elementary School,Catholic,Elementary,JK-8
Kitchener,A R Kaufman Public School,Public,Elementary,JK-8
Waterloo,Abraham Erb Public School,Public,Elementary,JK-6
Kitchener,Alpine Public School,Public,Elementary,JK-6
Cambridge,Avenue Road Public School,Public,Elementary,JK-8
Ayr,Ayr Public School,Public,Elementary,JK-6
Baden,Baden Public School,Public,Elementary,JK-8
Cambridge,Blair Road Public School,Public,Elementary,JK-6
Waterloo,Bluevale Collegiate Institute,Public,Secondary,9-12
Breslau,Breslau Public School,Public,Elementary,JK-8
Kitchener,Bridgeport Public School,Public,Elementary,JK-6
Kitchener,Brigadoon Public School,Public,Elementary,JK-6
Kitchener,Cameron Heights Collegiate Institute,Public,Secondary,9-12
Ayr,Cedar Creek Public School,Public,Elementary,JK-8
Waterloo,Cedarbrae Public School,Public,Elementary,JK-6
Cambridge,Centennial (Cambridge) Public School,Public,Elementary,JK-6
Waterloo,Centennial (Waterloo) Public School,Public,Elementary,7-8
Cambridge,Central Public School,Public,Elementary,JK-6
Cambridge,Chalmers Street Public School,Public,Elementary,JK-6
Kitchener,Chicopee Hills Public School,Public,Elementary,JK-8
Cambridge,Clemens Mill Public School,Public,Elementary,JK-8
Conestogo,Conestogo Public School,Public,Elementary,JK-8
Cambridge,Coronation Public School,Public,Elementary,JK-6
Kitchener,Country Hills Public School,Public,Elementary,JK-6
Kitchener,Courtland Avenue Public School,Public,Elementary,7-8
Kitchener,Crestview Public School,Public,Elementary,JK-6
Kitchener,Doon Public School,Public,Elementary,6-8
Kitchener,Driftwood Park Public School,Public,Elementary,JK-6
Kitchener,Eastwood Collegiate Institute,Public,Secondary,9-12
Waterloo,Edna Staebler Public School,Public,Elementary,JK-8
Cambridge,Elgin Street Public School,Public,Elementary,JK-6
Waterloo,Elizabeth Ziegler Public School,Public,Elementary,JK-6
Elmira,Elmira District Secondary School,Public,Secondary,9-12
Waterloo,Empire Public School,Public,Elementary,JK-6
Elmira,Floradale Public School,Public,Elementary,JK-8
New Hamburg,Forest Glen Public School,Public,Elementary,JK-8
Kitchener,Forest Heights Collegiate Institute,Public,Secondary,9-12
Kitchener,Forest Hill Public School,Public,Elementary,JK-6
Kitchener,Franklin Public School,Public,Elementary,JK-6
Kitchener,Glencairn Public School,Public,Elementary,JK-6
Cambridge,Glenview Park Secondary School,Public,Secondary,9-12
Kitchener,Grand River Collegiate Institute,Public,Secondary,9-12
Cambridge,Grand View Public School,Public,Elementary,JK-6
New Hamburg,Grandview Public School,Public,Elementary,JK-6
Kitchener,Groh Public School,Public,Elementary,JK-8
Cambridge,Hespeler Public School,Public,Elementary,JK-8
Cambridge,Highland Public School,Public,Elementary,JK-6
Cambridge,Hillcrest Public School,Public,Elementary,JK-6
Kitchener,Howard Robertson Public School,Public,Elementary,JK-6
Kitchener,Huron Heights Secondary School,Public,Secondary,9-12
Kitchener,J F Carmichael Public School,Public,Elementary,JK-6
Kitchener,J W Gerth Public School,Public,Elementary,JK-6
Cambridge,Jacob Hespeler Secondary School,Public,Secondary,9-12
Kitchener,Janet Metcalfe Public School,Public,Elementary,JK-8
Kitchener,Jean Steckle Public School,Public,Elementary,JK-8
